書名	銷售量	統計年份	漫畫類別	畫風	作家性別	同作者代表作	出版社	連載刊物	連載頻率	目標客群	戰鬥元素	動畫化	當季動畫	真人化	這本漫畫真厲害	店員推薦	雜誌發行量	CP值	已銷售月份長度	腐度	同人創作熱度
黑子的籃球 20	884432	2013	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	0	0	0	1	290	0.428240741	11	17824	252853
黑子的籃球 21	840542	2013	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	0	0	0	1	290	0.430555556	9	17824	252853
黑子的籃球 22	811519	2013	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	0	0	0	1	290	0.428240741	6	17824	252853
黑子的籃球 23	698273	2013	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	0	0	0	1	290	0.4375	3	17824	252853
黑子的籃球 24	667540	2013	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	0	0	0	1	290	0.474537037	1	17824	252853
黑子的籃球 18	601825	2012	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	1	0	0	1	290	0.451388889	4	17824	252853
黑子的籃球 17	599938	2012	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	1	0	0	1	290	0.416666667	7	17824	252853
黑子的籃球 15	599566	2012	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	1	0	0	1	290	0.416666667	11	17824	252853
黑子的籃球 19	587550	2012	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	1	0	0	1	290	0.425925926	2	17824	252853
黑子的籃球 16	582307	2012	熱血冒險	白描派	0	0	集英社	週刊少年JUMP	0	少年	0	1	1	0	0	1	290	0.435185185	8	17824	252853
銀魂 26	592537	2009	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.5	11	10863	152290
銀魂 27	587464	2009	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.412037037	9	10863	152290
銀魂 28	561582	2009	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.439814815	7	10863	152290
銀魂 24	524031	2008	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.294536817	4	10863	152290
銀魂 29	511070	2009	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.439814815	4	10863	152290
銀魂 23	485816	2008	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.244655582	7	10863	152290
銀魂 25	453112	2008	日常輕鬆	簡單派	0	0	集英社	週刊少年JUMP	0	少年	1	1	1	0	0	0	290	0.430555556	2	10863	152290
進擊的巨人9	1950807	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	11	16033	151181
進擊的巨人10	1915976	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	7	16033	151181
進擊的巨人11	1453879	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	3	16033	151181
進擊的巨人8	1339845	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人1	1299048	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人2	1267129	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人7	1261251	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人3	1250663	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.431965443	12	16033	151181
進擊的巨人6	1248339	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人5	1247333	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人4	1241299	2013	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	1	1	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人3	895268	2011	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	0	0	0	1	1	7	0.431965443	11	16033	151181
進擊的巨人6	777445	2012	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	0	0	0	1	1	7	0.414686825	11	16033	151181
進擊的巨人4	772412	2011	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	0	0	0	1	1	7	0.414686825	7	16033	151181
進擊的巨人1	711765	2011	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	0	0	0	1	1	7	0.414686825	12	16033	151181
進擊的巨人5	695719	2011	陰鬱現實	寫實派	0	0	講談社	別冊少年Magazine	1	少年	1	0	0	0	1	1	7	0.414686825	3	16033	151181
