GPA	Best6	B4EC
7.70	90.7	89.7
9.40	91.3	88.7
8.36	88.2	85.8
9.67	88.7	88.7
8.52	93.7	87.8
7.17	88.6	85.2
9.26	94.2	91.7
9.17	96.2	96.2
8.72	90.9	85.5
9.25	91.4	89.7
6.09	85.0	78.5
11.05	92.3	92.3
8.50	86.0	82.9
8.36	92.2	87.4
8.70	93.5	85.9
8.20	91.5	88.8
8.52	85.6	82.0
9.49	93.4	91.0
8.94	92.2	92.2
7.85	90.5	84.9
7.59	86.9	86.3
8.52	90.7	90.7
7.95	94.1	90.2
10.05	94.7	94.7
9.83	93.7	89.6
7.21	92.4	85.1
9.21	89.0	88.0
8.08	89.9	89.0
8.57	91.3	88.6
8.04	85.4	84.9
7.98	86.7	81.7
7.94	88.4	81.4
8.07	89.6	89.6
7.48	85.4	79.4
9.93	95.3	95.3
8.98	91.3	89.6
7.72	89.9	89.9
6.75	88.7	82.6
9.20	88.0	88.0
8.60	88.3	85.9
8.07	88.7	88.2
9.01	89.6	84.5
8.58	90.9	90.9
8.10	85.9	85.9
8.55	86.8	79.5
8.26	87.4	83.2
8.23	89.0	86.2
8.54	93.7	88.0
8.66	90.8	90.8
8.32	88.0	85.5
9.87	90.1	90.1
9.42	90.8	90.8
8.13	92.6	89.7
8.58	92.3	90.3
7.24	85.8	83.2
8.35	92.0	89.9
8.81	87.5	79.8
7.92	86.0	85.5
8.31	94.9	88.0
9.26	91.0	86.1
9.46	85.8	85.7
9.59	92.8	91.6
8.50	90.9	90.9
8.31	88.3	81.6
9.36	90.8	88.5
9.54	95.0	87.3
10.28	89.9	89.9
8.43	85.8	80.0
9.69	94.7	94.4
9.77	95.3	95.3
8.32	90.9	84.5
9.08	91.5	88.4
8.07	93.9	90.0
9.39	94.2	89.1
7.42	86.0	85.8
6.30	89.3	81.9
9.03	87.0	83.9
7.19	85.3	78.4
7.44	85.8	79.3
7.98	92.7	91.1
8.08	85.0	80.8
7.66	85.8	79.5
8.55	86.3	86.3
8.04	92.1	88.5
8.15	92.4	86.2
8.92	95.5	95.5
7.50	88.9	83.0
6.58	89.5	85.5
8.01	91.8	85.4
8.66	87.1	87.1
7.96	86.1	80.3
10.09	94.1	94.1
8.80	90.8	90.0
8.15	87.7	80.2
8.99	89.1	88.2
7.52	85.9	78.5
8.79	88.1	84.7
8.91	85.8	82.1
8.81	95.9	95.9
10.35	94.6	93.5
8.42	87.2	85.7
9.18	92.8	92.8
7.46	89.5	82.5
8.43	92.2	87.9
10.22	88.7	84.9
8.83	90.5	83.3
9.90	93.0	93.0
9.37	93.6	93.6
10.33	91.9	87.6
9.12	91.0	87.0
8.59	88.4	87.6
8.99	92.8	92.5
10.02	93.4	93.4
8.40	87.6	85.6
8.24	88.3	81.4
9.24	87.6	87.5
8.69	89.7	88.5
9.01	92.9	92.9
9.05	90.8	90.8
8.96	89.7	86.9
8.02	91.6	86.7
7.46	86.0	79.9
8.81	93.7	93.7
8.89	86.4	84.1
8.92	90.3	87.5
8.55	86.2	84.9
7.87	88.8	88.8
8.68	94.5	89.3
7.40	90.7	88.4
6.52	86.4	86.4
8.06	88.0	83.6
7.94	89.0	81.4
9.31	94.5	92.7
9.71	93.4	89.6
8.07	92.2	87.5
7.78	91.3	84.5
6.36	86.6	82.0
7.87	86.7	82.5
8.90	91.9	87.7
9.89	89.0	89.0
9.11	95.8	95.8
7.73	91.5	84.6
8.38	91.0	83.5
10.62	88.4	88.3
7.90	93.2	88.8
5.63	87.0	82.5
8.18	85.8	83.0
7.83	87.4	81.0
8.56	87.5	87.5
7.71	86.9	85.7
9.12	93.1	88.9
8.80	85.4	85.4
7.35	88.6	83.4
7.67	88.7	88.7
8.35	88.9	83.7
10.90	94.9	94.9
7.46	89.6	84.7
8.64	86.2	81.5
8.30	89.8	82.4
7.77	87.7	83.7
8.74	87.1	84.6
8.05	91.1	90.9
8.14	89.1	87.4
