Accidents	Cars	Speed
9	11.4	60.1
10	8.9	57.6
7	9.9	60.1
7	10	59.9
7	8.6	58.7
6	9.9	59.4
6	9.8	61.6
1	8	61.8
10	10.9	61.2
8	10.6	59.2
8	10	57.9
4	11.8	58.8
7	8.9	59.9
9	8.8	58.1
6	9.3	60
10	10	61.3
3	12.6	57.7
2	8.3	62.1
8	10.5	58.6
8	10.4	59.5
11	11.8	61.1
8	10.2	62.1
7	9.7	60.5
9	11.4	61.5
8	10.8	61
6	8.5	60.5
7	10.2	59.9
11	11.5	62
4	10.9	58.1
5	8.7	59.3
10	7	59.2
6	9.7	57.8
6	8.5	59.9
7	11.4	59.4
6	7.7	60.2
8	9.5	58.4
9	11.4	60
5	9.6	61.2
3	7.6	61.6
6	9.5	61.3
5	8.6	62.1
5	9.8	59
11	11.7	62.1
8	10.5	60.6
-1	12	56.6
6	10.1	58.2
10	10.8	60.6
7	10.7	61.3
8	9.2	58.1
6	9.6	60.5
8	10.2	62.5
7	10.5	60.6
10	8.3	58.9
6	9.2	59.6
10	10	58.5
9	9.8	61.1
9	11.2	60.4
6	8.4	61.4
8	11.2	60.7
6	10.1	58.8
