Score	Detergent	Temperature
66	A	Cold
87	A	Cold
55	A	Cold
41	A	Cold
68	A	Cold
49	A	Cold
52	A	Cold
57	A	Cold
66	A	Cold
62	A	Cold
78	A	Warm
65	A	Warm
68	A	Warm
75	A	Warm
57	A	Warm
48	A	Warm
84	A	Warm
69	A	Warm
55	A	Warm
78	A	Warm
99	A	Hot
87	A	Hot
57	A	Hot
84	A	Hot
93	A	Hot
64	A	Hot
90	A	Hot
85	A	Hot
64	A	Hot
84	A	Hot
83	B	Cold
62	B	Cold
61	B	Cold
85	B	Cold
75	B	Cold
78	B	Cold
68	B	Cold
66	B	Cold
93	B	Cold
81	B	Cold
63	B	Warm
47	B	Warm
88	B	Warm
74	B	Warm
71	B	Warm
71	B	Warm
71	B	Warm
68	B	Warm
80	B	Warm
68	B	Warm
82	B	Hot
85	B	Hot
72	B	Hot
71	B	Hot
72	B	Hot
77	B	Hot
73	B	Hot
88	B	Hot
75	B	Hot
77	B	Hot
70	C	Cold
75	C	Cold
62	C	Cold
68	C	Cold
72	C	Cold
92	C	Cold
70	C	Cold
71	C	Cold
74	C	Cold
80	C	Cold
71	C	Warm
88	C	Warm
90	C	Warm
85	C	Warm
78	C	Warm
69	C	Warm
60	C	Warm
80	C	Warm
61	C	Warm
89	C	Warm
97	C	Hot
98	C	Hot
79	C	Hot
60	C	Hot
84	C	Hot
58	C	Hot
79	C	Hot
86	C	Hot
91	C	Hot
75	C	Hot
44	D	Cold
59	D	Cold
47	D	Cold
60	D	Cold
79	D	Cold
62	D	Cold
73	D	Cold
64	D	Cold
69	D	Cold
81	D	Cold
70	D	Warm
80	D	Warm
78	D	Warm
72	D	Warm
71	D	Warm
75	D	Warm
101	D	Warm
81	D	Warm
87	D	Warm
84	D	Warm
85	D	Hot
83	D	Hot
94	D	Hot
89	D	Hot
77	D	Hot
100	D	Hot
92	D	Hot
102	D	Hot
93	D	Hot
86	D	Hot
84	E	Cold
67	E	Cold
99	E	Cold
85	E	Cold
73	E	Cold
74	E	Cold
76	E	Cold
82	E	Cold
79	E	Cold
79	E	Cold
87	E	Warm
100	E	Warm
83	E	Warm
82	E	Warm
93	E	Warm
76	E	Warm
87	E	Warm
76	E	Warm
70	E	Warm
78	E	Warm
84	E	Hot
95	E	Hot
82	E	Hot
74	E	Hot
97	E	Hot
87	E	Hot
80	E	Hot
76	E	Hot
91	E	Hot
96	E	Hot
