ResidualPrice	Age	Mileage	Year
36995	1	736	2005
34995	3	34389	2003
31995	1	4443	2005
25995	4	39856	2002
21995	5	58551	2001
25995	4	26312	2002
24995	4	24463	2002
26995	4	57588	2002
28995	4	38595	2002
27995	3	45786	2003
31995	3	21997	2003
41995	2	19149	2004
35995	3	6100	2003
28995	4	36961	2002
28995	4	40165	2002
35495	2	24563	2004
41575	4	41575	2002
30995	3	27360	2003
31995	4	20355	2002
28995	4	38107	2002
27995	4	51923	2002
27900	4	36322	2002
28900	4	29999	2002
29900	3	38610	2003
31900	3	44986	2003
31900	2	21360	2004
32900	1	5529	2005
28900	3	28040	2003
29900	4	19826	2002
29900	4	16383	2002
28900	4	22809	2002
25900	4	28664	2002
28900	3	48200	2003
28900	4	36365	2002
26900	3	43680	2003
28900	4	33339	2002
28900	4	19246	2002
28990	4	35283	2002
31900	2	16724	2004
30900	3	33731	2003
36900	3	13812	2003
31900	4	26378	2002
32900	4	44638	2002
31900	4	35463	2002
27995	3	33738	2003
29995	4	18587	2002
27995	4	38960	2002
29995	4	36186	2002
34995	2	14029	2004
32995	4	34973	2002
29995	4	32846	2002
33995	2	32855	2004
31895	2	24046	2004
27995	4	47005	2002
29995	3	25229	2003
39995	2	29690	2004
39995	2	25026	2004
27900	4	43430	2002
19595	5	71994	2001
23995	5	57816	2001
28995	3	16962	2003
24995	3	53883	2003
28995	4	35636	2002
25900	4	42893	2002
28995	3	38272	2003
27995	4	30234	2002
42995	2	14958	2004
33995	4	43198	2002
32900	3	32354	2003
28900	3	39555	2003
32400	2	9587	2004
38600	2	15202	2004
32600	4	38420	2002
31900	4	40848	2002
27900	3	24369	2003
25900	4	29360	2002
24900	4	25222	2002
27900	3	33084	2003
26400	4	28422	2002
25900	4	35587	2002
25200	4	38258	2002
26100	4	36659	2002
24900	4	36188	2002
28900	3	29162	2003
28900	3	35331	2003
28900	3	29927	2003
27400	4	40754	2002
29900	3	44815	2003
25900	5	36765	2001
41900	2	17127	2004
32900	4	43479	2002
29900	4	33514	2002
33600	4	23701	2002
29400	4	46792	2002
32900	4	25505	2002
33600	2	23976	2004
35900	2	23305	2004
24995	4	32183	2002
26995	2	28851	2004
43995	1	3821	2005
31495	0	4704	2006
26995	3	36057	2003
28995	3	33738	2003
24495	4	45137	2002
26495	3	35198	2003
31795	3	17033	2003
31995	3	20298	2003
28495	4	35129	2002
24995	5	33111	2001
37695	2	13304	2004
42795	2	11577	2004
41495	0	6648	2006
34995	2	19676	2004
39495	0	5289	2006
31995	3	14729	2003
33900	3	32132	2003
28900	3	30459	2003
20900	5	43440	2001
24900	4	45594	2002
26900	3	40673	2003
24900	4	53547	2002
26900	4	34694	2002
27900	3	31211	2003
27900	3	44900	2003
26900	4	45542	2002
26900	3	44389	2003
32900	2	20594	2004
30900	4	46116	2002
29989	3	32972	2003
29989	3	31872	2003
28989	4	34271	2002
28989	4	36579	2002
42989	2	7310	2004
35989	3	25175	2003
28989	3	31448	2003
29989	3	38459	2003
28989	3	32048	2003
28989	3	32850	2003
31989	2	16261	2004
30898	4	39633	2002
31989	3	28524	2003
29989	3	27232	2003
29989	4	41287	2002
33989	2	17448	2004
34989	2	17630	2004
40989	2	31011	2004
24989	5	63906	2001
35989	4	19363	2002
39989	0	2824	2006
24989	5	42659	2001
24989	3	46318	2003
35989	2	15683	2004
35989	1	21898	2005
31989	3	42940	2003
35989	3	44946	2003
33989	4	30238	2002
31989	4	44050	2002
26995	4	31564	2002
31875	3	18615	2003
35985	1	14254	2005
41985	1	9984	2005
32985	4	24391	2002
26985	4	43001	2002
22985	5	40325	2001
25875	4	46466	2002
24875	4	35419	2002
25875	4	23237	2002
26985	4	31571	2002
28985	2	18307	2004
31985	2	16622	2004
29985	2	17466	2004
33985	2	12419	2004
29985	4	33397	2002
29985	4	34266	2002
28985	3	46760	2003
27895	4	40032	2002
26975	4	44398	2002
25985	4	52475	2002
29875	3	26462	2003
29995	4	47631	2002
29995	4	32725	2002
32985	3	26619	2003
29995	4	36483	2002
27995	4	41262	2002
32985	4	28515	2002
29995	4	33592	2002
22985	5	57897	2001
25790	4	32093	2002
25490	4	14639	2002
24990	3	39067	2003
24490	4	45640	2002
28990	2	13291	2004
33990	4	29832	2002
28490	4	36066	2002
28890	4	38202	2002
28990	4	39502	2002
27500	4	27593	2002
25995	3	33200	2003
22995	5	51380	2001
27500	3	39900	2003
32995	1	12351	2005
29995	3	35400	2003
36995	2	7559	2004
28500	4	36000	2002
31995	3	28500	2003
33995	3	29340	2003
26990	4	43028	2002
25990	4	40002	2002
31990	3	21365	2003
29990	5	34168	2001
24990	5	43571	2001
22425	4	56208	2002
27990	4	44067	2002
27950	4	34974	2002
29925	2	32617	2004
32990	3	33065	2003
23990	5	53340	2001
31990	4	30433	2002
