id	Y	X	recipX
1	28	2.37	0.421940928
2	28	2.348	0.425894378
3	26	2.617	0.382116928
4	26	2.676	0.373692078
5	26	2.617	0.382116928
6	29	2.581	0.387446726
7	29	2.626	0.380807312
8	26	2.612	0.382848392
9	27	2.606	0.383729854
10	26	2.606	0.383729854
11	26	2.691	0.371609067
12	32	2.432	0.411184211
13	36	2.5	0.4
14	32	2.513	0.39793076
15	29	2.255	0.44345898
16	29	2.29	0.436681223
17	29	2.339	0.427533134
18	26	2.635	0.379506641
19	26	2.635	0.379506641
20	26	2.698	0.370644922
21	23	3.281	0.304785126
22	26	2.403	0.416146484
23	25	2.458	0.406834825
24	24	2.661	0.375798572
25	24	2.686	0.372300819
26	24	2.697	0.370782351
27	28	2.524	0.396196513
28	28	2.513	0.39793076
29	28	2.581	0.387446726
30	24	2.771	0.360880549
31	26	2.692	0.371471025
32	26	2.692	0.371471025
33	26	2.692	0.371471025
34	26	2.751	0.36350418
35	26	2.751	0.36350418
36	32	2.34	0.427350427
37	25	2.676	0.373692078
38	25	2.676	0.373692078
39	24	2.701	0.370233247
40	22	2.756	0.362844702
41	32	2.502	0.399680256
42	32	2.524	0.396196513
43	32	2.524	0.396196513
44	35	2.035	0.491400491
45	33	2.085	0.479616307
46	35	2.055	0.486618005
47	20	3.353	0.298240382
48	21	3.465	0.288600289
49	24	3.174	0.315059861
50	22	3.297	0.303306036
51	21	3.34	0.299401198
52	22	3.101	0.32247662
53	22	3.105	0.322061192
54	22	3.173	0.315159155
55	21	3.222	0.310366232
56	21	3.469	0.288267512
57	21	3.182	0.314267756
58	21	3.175	0.31496063
59	21	2.75	0.363636364
60	20	3.306	0.302480339
61	19	3.313	0.301841232
62	26	2.994	0.334001336
63	26	3.047	0.328191664
64	32	2.601	0.384467512
65	26	2.782	0.35945363
66	19	3.217	0.310848617
67	19	3.217	0.310848617
68	20	3.279	0.304971028
69	24	3.042	0.328731098
70	20	3.308	0.302297461
71	25	2.678	0.373412995
72	21	3.039	0.32905561
73	23	2.761	0.362187613
74	24	2.946	0.339443313
75	20	3.118	0.320718409
76	20	3.477	0.287604257
77	24	2.771	0.360880549
78	20	3.197	0.312793244
79	22	2.965	0.337268128
