id	Y	year	X	Xsq
1	388	1940	65	4225
2	450	1957	48	2304
3	386	1955	50	2500
4	350	1956	49	2401
5	155.5	1994	11	121
6	220	1940	65	4225
7	239.5	1958	47	2209
8	207	1961	44	1936
9	269.9	1965	40	1600
10	238.8	1968	37	1369
11	359.9	1970	35	1225
12	249.7	1965	40	1600
13	265	1979	26	676
14	349	1997	8	64
15	319	1925	80	6400
16	339	1972	33	1089
17	283	1971	34	1156
18	275	1975	30	900
19	299.9	1976	29	841
20	277	1948	57	3249
21	299	2005	0	0
22	185	1953	52	2704
23	232	1950	55	3025
24	214.9	1966	39	1521
25	195	1966	39	1521
26	256	1961	44	1936
27	269.7	1969	36	1296
28	330	1950	55	3025
29	249.9	1960	45	2025
30	279.9	1969	36	1296
31	325	1974	31	961
32	259.9	1937	68	4624
33	324.5	2000	5	25
34	359.9	1980	25	625
35	252.5	1920	85	7225
36	269	1947	58	3364
37	235	1948	57	3249
38	256.5	1966	39	1521
39	319.9	2004	1	1
40	355	2003	2	4
41	285	1975	30	900
42	242	1949	56	3136
43	197	1964	41	1681
44	281.8	2005	0	0
45	259	1969	36	1296
46	189.5	1975	30	900
47	339.9	1993	12	144
48	297	1995	10	100
49	295	1992	13	169
50	222.5	1960	45	2025
51	199	1963	42	1764
52	385.5	1919	86	7396
53	230	1972	33	1089
54	285	1905	100	10000
55	243	1961	44	1936
56	217	1961	44	1936
57	259.9	1979	26	676
58	349.5	2005	0	0
59	345	2005	0	0
60	336	2005	0	0
61	333.75	2005	0	0
62	340	2005	0	0
63	345	2005	0	0
64	374.5	1908	97	9409
65	236.5	1966	39	1521
66	350	1976	29	841
67	270	1977	28	784
68	299	1988	17	289
69	285	1975	30	900
70	255	1980	25	625
71	259	1979	26	676
72	249.9	1970	35	1225
73	215	1936	69	4761
74	435	1979	26	676
75	274.9	1995	10	100
76	349.5	1979	26	676
