Y	X	logY	logX
1639	205	7.40184157874383	5.32300997913841
1088	208	6.99209642741589	5.33753807970132
1193	215	7.08422642209792	5.37063802812766
1635	215	7.39939808333135	5.37063802812766
1732	199.9	7.45703208912238	5.29781724150635
1534	190	7.3356339819272	5.24702407216049
1765	180	7.4759059693674	5.19295685089021
1161	156	7.05703698169789	5.04985600724954
1010	144.9	6.9177056098353	4.97604384932664
1191	137.5	7.0825485693553	4.92362391710663
930	127	6.8351845861473	4.84418708645859
984	125	6.89162589705225	4.8283137373023
1112	123.5	7.01391547481053	4.81624115606803
600	117	6.39692965521615	4.76217393479776
733	118	6.59714570188665	4.77068462446567
794	115.5	6.67708346124714	4.74927052996185
867	111	6.76503897678054	4.70953020131233
750	113.9	6.62007320653036	4.73532087045314
923	99.5	6.82762923450285	4.60015764416455
743	99.5	6.61069604471776	4.60015764416455
752	97.5	6.62273632394984	4.5798523780038
696	97.5	6.54534966033442	4.5798523780038
731	90	6.59441345974978	4.49980967033027
768	96	6.64378973314767	4.56434819146784
653	86	6.48157712927643	4.45434729625351
1142	169.5	7.04053639021596	5.1328529268205
1035	155.3	6.94215670569947	5.04535873015464
1076	130	6.98100574072173	4.86753445045558
626	102	6.4393503711001	4.62497281328427
600	102	6.39692965521615	4.62497281328427
668	92.2	6.50428817353665	4.52396013056255
553	92.5	6.31535800152233	4.52720864451838
566	89.9	6.33859407820318	4.49869794147757
600	85	6.39692965521615	4.44265125649032
591	89	6.3818160174061	4.48863636973214
599	87	6.39526159811545	4.46590811865458
477	70	6.16751649088834	4.24849524204936
398	72	5.98645200528444	4.27666611901606
656	74.9	6.48616078894409	4.31615389052317
585	73.1	6.37161184723186	4.29182836675573
490	72.5	6.19440539110467	4.28358656186063
440	67	6.08677472691231	4.20469261939097
1487	215	7.30451594646016	5.37063802812766
1265	159.9	7.14282740116162	5.07454861983991
939	135	6.84481547920826	4.90527477843843
1232	129.9	7.11639414409346	4.86676492367655
1141	125	7.03966034986208	4.8283137373023
810	123.9	6.69703424766648	4.8194747886351
899	120	6.80128303447162	4.78749174278205
800	112.5	6.68461172766793	4.72295322164447
865	110	6.76272950693188	4.70048036579242
1076	108	6.98100574072173	4.68213122712422
875	105	6.77422388635761	4.65396035015752
690	104.9	6.5366915975913	4.65300751540225
648	95.5	6.47389069635227	4.55912624748668
820	93.4	6.7093043402583	4.5368913452348
456	87.5	6.12249280951439	4.47163879336357
723	88.9	6.58340922215876	4.48751214251986
780	85.5	6.65929391968364	4.44851637594271
638	83.5	6.45833828334479	4.42484663185681
673	81	6.51174532964473	4.39444915467244
821	80.5	6.71052310945243	4.38825718442452
671	79.9	6.50876913697168	4.38077585277223
649	75	6.47543271670409	4.31748811353631
461	75.9	6.13339804299665	4.32941668440158
486	75	6.18620862390049	4.31748811353631
427	73	6.05678401322862	4.29045944114839
513	72.9	6.24027584517077	4.28908863901461
504	71	6.22257626807137	4.26267987704132
622	67	6.43294009273918	4.20469261939097
342	61.9	5.8348107370626	4.12552017969055
1200	129.5	7.09007683577609	4.86368088113959
700	97.5	6.5510803350434	4.5798523780038
701	93.9	6.55250788703459	4.54223038621422
585	82	6.37161184723186	4.40671924726425
600	78	6.39692965521615	4.35670882668959
391	77	5.96870755998537	4.34380542185368
591	70	6.3818160174061	4.24849524204936
1209	210	7.09754885061479	5.34710753071747
447	72.5	6.10255859461357	4.28358656186063
426	58	6.05443934626937	4.06044301054642
915	184.4	6.81892406527552	5.21710731112249
1189	158	7.08086789669078	5.06259503302697
481	69.9	6.17586727010576	4.24706564923976
867	116	6.76503897678054	4.75359019110636
816	110.9	6.70441435496411	4.70862889435632
725	112.9	6.58617165485467	4.72650247115562
800	105	6.68461172766793	4.65396035015752
750	104.5	6.62007320653036	4.64918707140487
944	105	6.8501261661455	4.65396035015752
811	102	6.69826805411541	4.62497281328427
668	100	6.50428817353665	4.60517018598809
826	103	6.71659477352098	4.63472898822964
880	97.5	6.77992190747225	4.5798523780038
900	95	6.80239476332431	4.55387689160054
647	94	6.4723462945009	4.54329478227
866	92	6.76388490856244	4.52178857704904
810	94.5	6.69703424766648	4.5485998344997
707	87.4	6.56103066589657	4.47049528266149
721	87.2	6.58063913728495	4.46820433091493
638	87	6.45833828334479	4.46590811865458
694	86.9	6.5424719605068	4.46475803227135
634	76.6	6.45204895443723	4.33859707674655
541	73.9	6.29341927884648	4.30271282795416
