Sales	Income	Population	Market	Urban Dummy	Suburban Dummy	Urban x Income	Suburban x Income
544.3	89000	503	Urban	1	0	89000	0
481.2	78000	463	Urban	1	0	78000	0
527.5	71000	597	Urban	1	0	71000	0
550.5	64000	452	Urban	1	0	64000	0
561.1	69000	684	Urban	1	0	69000	0
491.1	59000	610	Urban	1	0	59000	0
691.7	76000	699	Urban	1	0	76000	0
483.5	59000	663	Urban	1	0	59000	0
572.6	64000	760	Urban	1	0	64000	0
582	76000	569	Urban	1	0	76000	0
403.3	61000	685	Urban	1	0	61000	0
612.8	73000	872	Urban	1	0	73000	0
489.1	68000	712	Urban	1	0	68000	0
481	84000	514	Urban	1	0	84000	0
441.5	78000	326	Urban	1	0	78000	0
573.8	76000	769	Urban	1	0	76000	0
467.9	78000	421	Urban	1	0	78000	0
607.6	72000	499	Urban	1	0	72000	0
508.9	67000	672	Urban	1	0	67000	0
587.4	71000	1077	Urban	1	0	71000	0
393.4	65000	710	Urban	1	0	65000	0
564.2	52000	592	Urban	1	0	52000	0
588.3	72000	829	Urban	1	0	72000	0
569.4	73000	650	Urban	1	0	73000	0
641.9	88000	755	Urban	1	0	88000	0
646.4	78000	531	Urban	1	0	78000	0
490.1	67000	559	Urban	1	0	67000	0
616.5	69000	726	Urban	1	0	69000	0
467.1	61000	581	Urban	1	0	61000	0
630.2	79000	531	Urban	1	0	79000	0
532.9	75000	470	Urban	1	0	75000	0
353.2	52000	551	Urban	1	0	52000	0
580.2	71000	482	Urban	1	0	71000	0
379.3	86000	849	Suburban	0	1	0	86000
495.8	84000	796	Suburban	0	1	0	84000
468.4	86000	713	Suburban	0	1	0	86000
362.9	80000	578	Suburban	0	1	0	80000
355.8	73000	798	Suburban	0	1	0	73000
455.9	74000	786	Suburban	0	1	0	74000
382	84000	740	Suburban	0	1	0	84000
476.2	87000	850	Suburban	0	1	0	87000
376.8	85000	828	Suburban	0	1	0	85000
341.4	77000	729	Suburban	0	1	0	77000
428	70000	926	Suburban	0	1	0	70000
465.5	90000	641	Suburban	0	1	0	90000
475.7	80000	953	Suburban	0	1	0	80000
442	74000	862	Suburban	0	1	0	74000
469.3	86000	1224	Suburban	0	1	0	86000
555.2	73000	992	Suburban	0	1	0	73000
401.7	71000	626	Suburban	0	1	0	71000
488.8	93000	947	Suburban	0	1	0	93000
512	71000	1075	Suburban	0	1	0	71000
437.9	95000	884	Suburban	0	1	0	95000
417.5	76000	1034	Suburban	0	1	0	76000
352.7	75000	827	Suburban	0	1	0	75000
416.7	73000	985	Suburban	0	1	0	73000
283.5	64000	635	Suburban	0	1	0	64000
454	92000	424	Suburban	0	1	0	92000
466.6	78000	923	Suburban	0	1	0	78000
461.1	79000	793	Suburban	0	1	0	79000
376	63000	612	Rural	0	0	0	0
162.8	50000	560	Rural	0	0	0	0
458.3	64000	452	Rural	0	0	0	0
325.7	58000	611	Rural	0	0	0	0
313.1	62000	433	Rural	0	0	0	0
305.1	54000	705	Rural	0	0	0	0
276.6	65000	658	Rural	0	0	0	0
310.5	65000	438	Rural	0	0	0	0
272.7	59000	434	Rural	0	0	0	0
425.6	70000	552	Rural	0	0	0	0
468.4	72000	656	Rural	0	0	0	0
209.4	62000	410	Rural	0	0	0	0
126.9	55000	321	Rural	0	0	0	0
325.9	74000	270	Rural	0	0	0	0
442.9	66000	738	Rural	0	0	0	0
458.2	69000	548	Rural	0	0	0	0
409.9	60000	774	Rural	0	0	0	0
349.2	56000	646	Rural	0	0	0	0
471.4	67000	831	Rural	0	0	0	0
476.4	56000	947	Rural	0	0	0	0
407.5	63000	945	Rural	0	0	0	0
375.1	66000	323	Rural	0	0	0	0
319.8	66000	260	Rural	0	0	0	0
287.2	56000	401	Rural	0	0	0	0
518.1	63000	628	Rural	0	0	0	0
213.8	63000	222	Rural	0	0	0	0
290.9	65000	395	Rural	0	0	0	0
