id	name	price	cost	Y	Yalternate	X1	X2	X3	X4	X5	type	D6	D7	D8	D9	D10	drive	D11	D12
1	Chevrolet Aveo 4dr	11690	10965	28	34	2.37	1.03	1.6	4	.98	sedan	0	0	0	0	0	fwd	0	0
2	Chevrolet Aveo LS 4dr hatch	12585	11802	28	34	2.348	1.03	1.6	4	.98	sedan	0	0	0	0	0	fwd	0	0
3	Chevrolet Cavalier 2dr	14610	13697	26	37	2.617	1.4	2.2	4	1.04	sedan	0	0	0	0	0	fwd	0	0
4	Chevrolet Cavalier 4dr	14810	13884	26	37	2.676	1.4	2.2	4	1.04	sedan	0	0	0	0	0	fwd	0	0
5	Chevrolet Cavalier LS 2dr	16385	15357	26	37	2.617	1.4	2.2	4	1.04	sedan	0	0	0	0	0	fwd	0	0
6	Dodge Neon SE 4dr	13670	12849	29	36	2.581	1.32	2	4	1.05	sedan	0	0	0	0	0	fwd	0	0
7	Dodge Neon SXT 4dr	15040	14086	29	36	2.626	1.32	2	4	1.05	sedan	0	0	0	0	0	fwd	0	0
8	Ford Focus ZX3 2dr hatch	13270	12482	26	33	2.612	1.3	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
9	Ford Focus LX 4dr	13730	12906	27	36	2.606	1.1	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
10	Ford Focus SE 4dr	15460	14496	26	33	2.606	1.3	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
11	Ford Focus ZX5 5dr	15580	14607	26	33	2.691	1.3	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
12	Honda Civic DX 2dr	13270	12175	32	38	2.432	1.15	1.7	4	1.03	sedan	0	0	0	0	0	fwd	0	0
13	Honda Civic HX 2dr	14170	12996	36	44	2.5	1.17	1.7	4	1.03	sedan	0	0	0	0	0	fwd	0	0
14	Honda Civic LX 4dr	15850	14531	32	38	2.513	1.15	1.7	4	1.03	sedan	0	0	0	0	0	fwd	0	0
15	Hyundai Accent 2dr hatch	10539	10107	29	33	2.255	1.03	1.6	4	.96	sedan	0	0	0	0	0	fwd	0	0
16	Hyundai Accent GL 4dr	11839	11116	29	33	2.29	1.03	1.6	4	.96	sedan	0	0	0	0	0	fwd	0	0
17	Hyundai Accent GT 2dr hatch	11939	11209	29	33	2.339	1.03	1.6	4	.96	sedan	0	0	0	0	0	fwd	0	0
18	Hyundai Elantra GLS 4dr	13839	12781	26	34	2.635	1.38	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
19	Hyundai Elantra GT 4dr	15389	14207	26	34	2.635	1.38	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
20	Hyundai Elantra GT 4dr hatch	15389	14207	26	34	2.698	1.38	2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
21	Kia Optima LX 4dr	16040	14910	23	30	3.281	1.38	2.4	4	1.06	sedan	0	0	0	0	0	fwd	0	0
22	Kia Rio 4dr manual	10280	9875	26	33	2.403	1.04	1.6	4	.95	sedan	0	0	0	0	0	fwd	0	0
23	Kia Rio 4dr auto	11155	10705	25	32	2.458	1.04	1.6	4	.95	sedan	0	0	0	0	0	fwd	0	0
24	Kia Spectra 4dr	12360	11630	24	32	2.661	1.24	1.8	4	1.01	sedan	0	0	0	0	0	fwd	0	0
25	Kia Spectra GS 4dr hatch	13580	12830	24	32	2.686	1.24	1.8	4	1.01	sedan	0	0	0	0	0	fwd	0	0
26	Kia Spectra GSX 4dr hatch	14630	13790	24	32	2.697	1.24	1.8	4	1.01	sedan	0	0	0	0	0	fwd	0	0
27	Mini Cooper	16999	15437	28	37	2.524	1.15	1.6	4	.97	sedan	0	0	0	0	0	fwd	0	0
28	Nissan Sentra 1.8 4dr	12740	12205	28	35	2.513	1.26	1.8	4	1	sedan	0	0	0	0	0	fwd	0	0
29	Nissan Sentra 1.8 S 4dr	14740	13747	28	35	2.581	1.26	1.8	4	1	sedan	0	0	0	0	0	fwd	0	0
30	Pontiac Sunfire 1SA 2dr	15495	14375	24	33	2.771	1.4	2.2	4	1.04	sedan	0	0	0	0	0	fwd	0	0
31	Saturn Ion1 4dr	10995	10319	26	35	2.692	1.4	2.2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
32	Saturn Ion2 4dr	14300	13393	26	35	2.692	1.4	2.2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
33	Saturn Ion3 4dr	15825	14811	26	35	2.692	1.4	2.2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
34	Saturn Ion2 quad coupe 2dr	14850	13904	26	35	2.751	1.4	2.2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
35	Saturn Ion3 quad coupe 2dr	16350	15299	26	35	2.751	1.4	2.2	4	1.03	sedan	0	0	0	0	0	fwd	0	0
36	Scion xA 4dr hatch	12965	12340	32	38	2.34	1.08	1.5	4	.93	sedan	0	0	0	0	0	fwd	0	0
37	Suzuki Aerio S 4dr	12884	12719	25	31	2.676	1.55	2.3	4	.98	sedan	0	0	0	0	0	fwd	0	0
