Average Cost	Units	Precision SD	Weight Final	Weight Rem	Stamp Ops	Chisel Ops	Labor Hours	Machine Hours	Cost Metal/Kg	Room Temp	Breakdowns	recipUnits	Breakdown/Unit	Total Metal Cost	SqTempDev	Detail	Rush	Manager	Music	Shift	Plant
34.51	2200	0.5	0.41	1.9246	6	11	0.267	0.033	0.96	73	17	0.00045455	0.00772727	2.241216	4	DETAIL	NONE	LEE	NONE	DAY	OLD
26.09	260	0.1	0.255	0.281	13	6	0.5	0.017	4.15	70	3	0.00384615	0.01153846	2.2244	25	DETAIL	NONE	LEE	NONE	DAY	OLD
34.84	400	0.1	0.44	1.3296	11	10	0.367	0.033	1.33	70	4	0.0025	0.01	2.353568	25	DETAIL	NONE	LEE	NONE	DAY	OLD
38.73	290	0.1	0.23	0.532	13	10	0.417	0.033	3.67	78	3	0.00344828	0.01034483	2.79654	9	DETAIL	NONE	PAT	NONE	DAY	OLD
40.36	130	1	0.37	0.3124	7	5	0.383	0.017	5.5	83.5	0	0.00769231	0	3.7532	72.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
30.55	1300	1	0.285	0.3367	7	6	0.167	0.017	4.85	63	19	0.00076923	0.01461538	3.015245	144	NONE	RUSH	PAT	NONE	NIGHT	OLD
35.96	300	0.1	0.215	0.3354	10	9	0.367	0.017	4.37	74	0	0.00333333	0	2.405248	1	DETAIL	NONE	TERRY	ROCK	DAY	NEW
32.6	120	1	0.39	0.5609	5	7	0.383	0.017	1.42	62	0	0.00833333	0	1.350278	169	NONE	RUSH	RANDY	NONE	DAY	OLD
44.18	250	0.5	0.275	0.1929	8	5	0.333	0.017	5.31	60.5	5	0.004	0.02	2.484549	210.25	NONE	RUSH	PAT	NONE	DAY	OLD
38.39	210	1	0.32	1.8243	18	19	0.483	0.067	1.1	72.5	7	0.0047619	0.03333333	2.35873	6.25	NONE	RUSH	RANDY	NONE	DAY	OLD
44.97	400	0.5	0.29	0.4729	11	9	0.267	0.033	3.57	83.5	3	0.0025	0.0075	2.723553	72.25	NONE	RUSH	RANDY	NONE	DAY	OLD
46.94	120	0.1	0.45	2.2695	12	12	0.75	0.033	0.77	65.5	0	0.00833333	0	2.094015	90.25	DETAIL	NONE	LEE	NONE	DAY	OLD
34.01	290	0.5	0.325	0.5539	16	14	0.4	0.017	4.33	75	0	0.00344828	0	3.805637	0	NONE	RUSH	TERRY	ROCK	DAY	NEW
51.9	190	0.1	0.55	1.032	10	8	0.417	0.033	1.15	70	1	0.00526316	0.00526316	1.8193	25	DETAIL	NONE	LEE	NONE	DAY	OLD
38.44	180	0.1	0.48	1.6524	6	10	0.417	0.033	0.73	88.5	1	0.00555556	0.00555556	1.556652	182.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
33.55	1400	0.5	0.39	0.9344	7	7	0.133	0.017	1.09	73.5	0	0.00071429	0	1.443596	2.25	NONE	RUSH	JEAN	NONE	NIGHT	NEW
42.27	800	0.5	0.325	1.0698	6	9	0.183	0.033	1.13	82.5	5	0.00125	0.00625	1.576124	56.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
49.99	170	0.1	0.255	0.5168	15	13	0.583	0.017	5.05	75	1	0.00588235	0.00588235	3.89759	0	DETAIL	RUSH	TERRY	ROCK	DAY	NEW
91.6	200	0.5	0.325	1.515	12	11	0.367	0.017	0.97	74.5	0	0.005	0	1.7848	0.25	NONE	RUSH	TERRY	POP	DAY	NEW
39.08	180	1	0.395	2.4364	14	14	0.55	0.017	1.26	74	1	0.00555556	0.00555556	3.567564	1	NONE	RUSH	JEAN	NONE	DAY	NEW
54	240	0.5	0.42	2.3163	15	17	0.5	0.05	1.29	78.5	7	0.00416667	0.02916667	3.529827	12.25	NONE	RUSH	LEE	NONE	NIGHT	OLD
31.94	2200	0.1	0.43	0.893	7	5	0.217	0.017	0.86	79.5	17	0.00045455	0.00772727	1.13778	20.25	DETAIL	NONE	LEE	NONE	DAY	OLD
29.16	180	0.5	0.41	2.6626	14	15	0.5	0.05	1	71	1	0.00555556	0.00555556	3.0726	16	DETAIL	NONE	RANDY	NONE	DAY	OLD
51.22	300	0.5	0.325	1.4159	12	14	0.383	0.05	1.21	82.5	9	0.00333333	0.03	2.106489	56.25	DETAIL	NONE	RANDY	NONE	DAY	OLD
61.43	100	0.5	0.265	0.5474	10	14	0.6	0.05	4.24	89	1	0.01	0.01	3.444576	196	DETAIL	NONE	LEE	NONE	DAY	OLD
25.69	2400	0.1	0.4	0.6975	5	5	0.283	0.017	0.95	68.5	10	0.00041667	0.00416667	1.042625	42.25	DETAIL	RUSH	PAT	NONE	DAY	OLD
33.56	140	0.5	0.375	2.3714	14	17	0.55	0.05	0.93	78	0	0.00714286	0	2.554152	9	NONE	RUSH	RANDY	NONE	DAY	OLD
32.92	160	0.1	0.42	1.7327	13	12	0.5	0.033	1.08	74	1	0.00625	0.00625	2.324916	1	DETAIL	NONE	PAT	NONE	DAY	OLD
41.16	300	0.5	0.33	1.5491	13	14	0.417	0.017	0.52	72.5	0	0.00333333	0	0.977132	6.25	NONE	RUSH	TERRY	ROCK	DAY	NEW
39.71	400	0.1	0.33	1.6487	14	11	0.4	0.017	0.74	74.5	1	0.0025	0.0025	1.464238	0.25	DETAIL	NONE	JEAN	POP	DAY	NEW
42.05	140	0.5	0.36	2.3931	16	18	0.533	0.033	0.76	75.5	1	0.00714286	0.00714286	2.092356	0.25	NONE	RUSH	JEAN	JAZZ	DAY	NEW
47.52	110	0.5	0.375	2.1485	16	18	0.533	0.033	0.96	74.5	0	0.00909091	0	2.42256	0.25	NONE	RUSH	JEAN	ROCK	NIGHT	NEW
43.43	270	0.5	0.4	1.5141	6	10	0.25	0.033	1.18	70	2	0.0037037	0.00740741	2.258638	25	NONE	RUSH	RANDY	NONE	DAY	OLD
55.68	230	1	0.41	3.663	16	20	0.55	0.067	1.04	61	5	0.00434783	0.02173913	4.23592	196	NONE	RUSH	LEE	NONE	NIGHT	OLD
31.44	1200	0.1	0.38	0.8668	6	9	0.283	0.017	1.06	76	0	0.00083333	0	1.321608	1	DETAIL	NONE	TERRY	POP	DAY	NEW
36.43	300	0.5	0.43	2.0183	6	10	0.283	0.033	1.49	83	5	0.00333333	0.01666667	3.647967	64	NONE	RUSH	PAT	NONE	DAY	OLD
37.01	260	1	0.49	1.4493	8	8	0.3	0.017	0.62	72.5	0	0.00384615	0	1.202366	6.25	NONE	RUSH	JEAN	JAZZ	NIGHT	NEW
42.23	170	0.5	0.45	1.7666	17	16	0.5	0.05	1.04	70.5	0	0.00588235	0	2.305264	20.25	NONE	RUSH	RANDY	NONE	DAY	OLD
44.9	120	1	0.365	1.9185	16	15	0.533	0.05	1.01	68	1	0.00833333	0.00833333	2.306335	49	NONE	RUSH	PAT	NONE	NIGHT	OLD
