ratio	gtype	method
0.772	S1-1	A    
1.186	S1-1	K
1.061	S1-1	L
1.025	S1-1	C
0.744	S2-1	A    
1.151	S2-1	K
0.992	S2-1	L
0.905	S2-1	C
0.767	S3-1	A    
1.322	S3-1	K
1.063	S3-1	L
0.93	S3-1	C
0.745	S4-1	A    
1.339	S4-1	K
1.062	S4-1	L
0.899	S4-1	C
0.725	S5-1	A    
1.2	S5-1	K
1.065	S5-1	L
0.871	S5-1	C
0.844	S1-2	A    
1.402	S1-2	K
1.178	S1-2	L
1.004	S1-2	C
0.831	S2-2	A    
1.365	S2-2	K
1.037	S2-2	L
0.853	S2-2	C
0.867	S3-2	A    
1.537	S3-2	K
1.086	S3-2	L
0.858	S3-2	C
0.859	S4-2	A    
1.559	S4-2	K
1.052	S4-2	L
0.805	S4-2	C
