value	plating	test
20	CW	bolt
16	CW	bolt
17	CW	bolt
18	CW	bolt
15	CW	bolt
16	CW	bolt
19	CW	bolt
14	CW	bolt
15	CW	bolt
24	CW	bolt
26	HT	bolt
40	HT	bolt
28	HT	bolt
38	HT	bolt
38	HT	bolt
30	HT	bolt
26	HT	bolt
38	HT	bolt
45	HT	bolt
38	HT	bolt
25	PO	bolt
40	PO	bolt
30	PO	bolt
17	PO	bolt
16	PO	bolt
45	PO	bolt
49	PO	bolt
33	PO	bolt
30	PO	bolt
20	PO	bolt
24	CW	mandrel
18	CW	mandrel
17	CW	mandrel
17	CW	mandrel
15	CW	mandrel
23	CW	mandrel
14	CW	mandrel
18	CW	mandrel
12	CW	mandrel
11	CW	mandrel
32	HT	mandrel
22	HT	mandrel
30	HT	mandrel
35	HT	mandrel
32	HT	mandrel
28	HT	mandrel
27	HT	mandrel
28	HT	mandrel
30	HT	mandrel
30	HT	mandrel
10	PO	mandrel
13	PO	mandrel
17	PO	mandrel
16	PO	mandrel
15	PO	mandrel
14	PO	mandrel
11	PO	mandrel
14	PO	mandrel
15	PO	mandrel
16	PO	mandrel
